Response ID,Create Time,Last Submitted Time,Respondent Email,1. What type of home appliance do you own?,2. Brand of the appliance?,3. Where did you purchase it?,4. City / Region? (e.g: Hyderabad),5. Approximate purchase price (INR)?,6. How old is the appliance? (in years),7. Household size?,8. Daily usage hours?,9. Did you purchase an extended warranty?,10. Service calls made in the last 12 months?,11. Any prior repair history?,12. Have you ever filed a warranty claim for this appliance?,"13. If you filed a claim, what was the outcome?",14. Number of prior warranty claims made?,15. How satisfied are you with the appliance? (1-5 Scale)
ACYDBNgas4FNyxQk-m_ZxR2z5Z7FuhBwSfN0Utj48oYPxtwsIajbRDFuS0e4xK6w7wRiHvQ,2026-09-17T09:49:48.168Z,2026-09-17T09:49:48.168962Z,,Air Conditioner,Panasonic,Online Marketplace (Amazon/Flipkart),Tirupathi,35000,1-2 years,3-4 members,2-4h,No,0,No,No,Not Applicable,0,3
ACYDBNiE69DBL4JhySUq7O-ZyG9mdOQlse3CLEQITbUt9zT420T2CxPSVnsbQavpWGkrD84,2026-09-17T10:19:32.364Z,2026-09-17T10:19:32.364383Z,,Air Conditioner,LG,Authorized Dealer,Udumalpet ,28000,1-2 years,3-4 members,Less than 2h,No,1,No,Yes,Not Applicable,1,4
ACYDBNhPulZyuR19hq77gpkDeyHjcRmUtI34SKAOiXQgTM12CXi_vXr9i-T6byb95VcFsNg,2026-09-17T09:55:00.654Z,2026-09-17T09:55:00.654907Z,,Washing Machine,Samsung,Authorized Dealer,Tirupathi,40000,1-2 years,3-4 members,2-4h,Yes,2,No,Yes,Approved,2,4
ACYDBNgwdZKOl5O3VO-SFLCiY3ovFpImJmTM6Nv3YzzAKsgEHXjrj_-Tpo__s7K1BAbf1Qc,2026-09-17T09:25:07.263Z,2026-09-17T09:25:07.263878Z,,Washing Machine,LG,Authorized Dealer,apk,98562,More than 5 years,3-4 members,More than 8h,Yes,3 or more,Yes,Yes,Approved,2,5
ACYDBNjS2sdkDlF-7Uuy5b7UDLCovp4KuB0yN2Nskmuu0dyirsjJYBWUr_itg0mehPFlRxU,2026-09-17T10:29:51.814Z,2026-09-17T10:29:51.814316Z,,Air Conditioner,Voltas,Authorized Dealer,Tamil Nadu,35000,3-5 years,3-4 members,Less than 2h,Yes,2,Yes,Yes,Partially Approved,1,4
ACYDBNgr9-rfXkj2SVrV3KMlQKkT405rACZVZp3sjWjoUnmkwt_MrVCMQP0RVgPkWXmZn7w,2026-09-17T10:41:33.451Z,2026-09-17T10:41:33.451681Z,,Washing Machine,Haier,Unauthorized Reseller,Bihar,33000,1-2 years,3-4 members,2-4h,Yes,1,Yes,Yes,Rejected,0,2
ACYDBNimghwnao64xh-EiPfny5mzmReqH6zMXPj6DazqWgBpygRENE5LY_9wARXa0xOFhjQ,2026-09-17T04:05:46.196Z,2026-09-17T04:05:46.196662Z,,Washing Machine,IFB,Authorized Dealer,Coimbatore ,27000,More than 5 years,3-4 members,Less than 2h,No,2,No,Yes,Approved,1,4
ACYDBNg4OHHBAYCB4MjDhVhyXB_9NWWVJJN8F6tiFa45YE34EzjX3JUC9SlbWUAI57V9HfU,2026-09-17T09:48:02.535Z,2026-09-17T09:48:02.535467Z,,Air Conditioner,Haier,Authorized Dealer,Virudhunagar,30000,3-5 years,3-4 members,4-8h,No,3 or more,No,No,Not Applicable,0,4
ACYDBNgSF5VVpB6aIHQhtj6_jn1Dg_HtTZ8ROfr1jqmvPm3rxsy50AjcMAvbJ-Yp42_GfKI,2026-09-17T09:43:24.951Z,2026-09-17T09:43:24.951101Z,,Air Conditioner,Samsung,Authorized Dealer,Aruppukottai,75000,1-2 years,3-4 members,4-8h,Yes,1,Yes,Yes,Approved,1,3
ACYDBNg1Lq2-mF7nH1I2tabDBeWyC3P2G_0bWCM2Z4ULJwZqdM5CU-sMPohzDCiV3r213pk,2026-09-17T12:35:41.705Z,2026-09-17T12:35:41.705289Z,,Washing Machine,Whirlpool,Authorized Dealer,Virudhunagar ,"20,000",Less than 1 year,5 or more members,Less than 2h,Yes,1,No,No,Not Applicable,0,4
ACYDBNhPzEmTqnvkzUJLUeYQvEcMEhM5RKjQJs7U9IBdAJfmsj99XU_GRsPlwlf_UKGTE2E,2026-09-17T10:09:12.097Z,2026-09-17T10:09:12.097859Z,,Air Conditioner,LG,Authorized Dealer,Hyderabad,50000,More than 5 years,3-4 members,2-4h,No,1,Yes,No,Not Applicable,0,4
ACYDBNiQd94tOWyg56rQI_xLmjY7dxqP6x_g3e7v2_JBV67BW_YHBYm9l-JpzF0rKRenBps,2026-09-17T10:17:06.693Z,2026-09-17T10:17:06.693087Z,,Refrigerator,LG,Authorized Dealer,Madurai,60000,3-5 years,5 or more members,4-8h,Yes,1,No,Yes,Approved,1,5
ACYDBNhQ3kXzt9_AtJqT1dAU7w641fZk49AscMxQz9vTFRGUISUXRVXgRV5OjzLvCvEmbdk,2026-09-18T08:36:10.312Z,2026-09-18T08:36:10.312905Z,,Washing Machine,Samsung,Authorized Dealer,Tadepalligudem ,100000,1-2 years,3-4 members,More than 8h,No,0,No,Yes,Approved,0,5
ACYDBNgpJ1Hvx1ob9VRmNrAHpXUgzdbzFBmJWuDIgLFznPV0bSmpJKSP7ieXkW0ZJztrh-8,2026-09-18T14:16:38.152Z,2026-09-18T14:16:38.152751Z,,Air Conditioner,LG,Authorized Dealer,Tamilnadu ,25000,Less than 1 year,3-4 members,Less than 2h,Yes,1,No,No,Not Applicable,0,4
ACYDBNhm2yHirKB5bS0ZoWdfL5em_GPdrkWz4B-F3CzJfNGIkGR9IQLFtAW-jWz6OIjkCqI,2026-09-17T07:18:25.147Z,2026-09-17T07:18:25.147208Z,,Air Conditioner,LG,Authorized Dealer,Hyderabad,50000,Less than 1 year,5 or more members,Less than 2h,Yes,0,No,No,Not Applicable,0,4
ACYDBNjPea22nXM71Bjv1jBeQdFsPJiuZCAScIy9fvSQxGqtKwVMNsG3ypueHtYOQ-fcdZ4,2026-09-17T09:20:47.588Z,2026-09-17T09:20:47.588956Z,,Washing Machine,LG,Authorized Dealer,Indore ,35000,1-2 years,3-4 members,Less than 2h,No,1,No,Yes,Rejected,1,4
ACYDBNiG4g2Zny4wF53ioeUHxHi8u4R97-m5VMfJ5FCKr5fQHCi9LrwA95Nv4VksRuK2n-4,2026-09-17T07:20:45.067Z,2026-09-17T07:20:45.067709Z,,Washing Machine,IFB,Authorized Dealer,Alappuzha,60000,1-2 years,3-4 members,2-4h,No,0,No,No,Not Applicable,0,5
ACYDBNgb83gb7Mrk8Fser6EqnMeSnrjx1Zome6J_IoHK_JXe-7nwKyP6HBdJ0cdIv17GbCw,2026-09-17T04:02:31.248Z,2026-09-17T04:02:31.248013Z,,Air Conditioner,LG,Authorized Dealer,Kerala ,35000,3-5 years,3-4 members,2-4h,Yes,1,Yes,Yes,Approved,1,3
ACYDBNiXUv7wt8aGSRBi4uZ64AmsuRr8MKk-TuwpylTsH2-luthAPGjPvv-zCyLM8QtRhJw,2026-09-17T13:35:38.934Z,2026-09-17T13:35:38.934861Z,,Washing Machine,Samsung,Authorized Dealer,Kochi ,38000,Less than 1 year,3-4 members,Less than 2h,No,0,No,No,Not Applicable,0,4
ACYDBNj3F5hWtXVrSH8b6HxGVMkfxjM-qkJ8PDMepxsoIv25mE5GNr29J4oIaIiUZPlNPXM,2026-09-17T05:18:41.254Z,2026-09-17T05:18:41.254881Z,,Air Conditioner,LG,Authorized Dealer,Coimbatore,40000,3-5 years,3-4 members,More than 8h,No,1,No,No,Not Applicable,0,5
ACYDBNiNVP-IT53EJ8WTHF22KZ_oyuPz35C4dsqBkMYDIMx1fRKY0RdNBcwAjnXigM9G98Y,2026-09-17T10:31:41.133Z,2026-09-17T10:31:41.133076Z,,Microwave,Samsung,Online Marketplace (Amazon/Flipkart),Hyderabad,27250,3-5 years,1-2 members,Less than 2h,Yes,2,Yes,Yes,Partially Approved,1,2
ACYDBNgsv5tV2h0-tMWUXbmOylM7VzwjwIj-eypqML9sac7BZs-21SdDKG-U1lef0P7RzFk,2026-09-17T10:33:01.405Z,2026-09-17T10:33:01.405775Z,,Air Conditioner,Other,Authorized Dealer,Guntur ,"1,32,095",1-2 years,3-4 members,More than 8h,No,2,No,No,Partially Approved,2,5
ACYDBNh0Fy3LBEB71kfxww6tCuA53k8KpT8KT6s__xqdutcIljhwP3-Zhr6-tz7ui4Wp12U,2026-09-17T05:58:56.183Z,2026-09-17T05:58:56.183884Z,,Washing Machine,Godrej,Online Marketplace (Amazon/Flipkart),Hyderabad ,47000,1-2 years,3-4 members,Less than 2h,No,1,Yes,Yes,Approved,1,3
ACYDBNhaKMWylEkCb-TjVjOykqd-1amRr8dXVgxFJ8TFoGQT-82HFNS6cZ56J31TYyITLtw,2026-09-17T12:48:32.540Z,2026-09-17T12:48:32.540284Z,,Refrigerator,LG,Authorized Dealer,Pudukkottai ,20000,Less than 1 year,5 or more members,More than 8h,Yes,1,No,No,Not Applicable,0,3
ACYDBNg3D-aMQAmG-GX2VRcnC3tCSffsYme-wmr1U1lepJchteLyX45ep6dBp6799K8VEFM,2026-09-17T04:48:14.302Z,2026-09-17T04:48:14.302322Z,,Washing Machine,Other,Authorized Dealer,"Coimbatore, South",25000,3-5 years,1-2 members,Less than 2h,No,1,No,No,Not Applicable,0,4
ACYDBNiXW_6kT7g4nuJGirY0JUoU8RyhGTbgbfcxSTyj3K8-WK02D79blSgaiCcvZ4jTJyA,2026-09-17T07:19:41.361Z,2026-09-17T07:19:41.361693Z,,Refrigerator,LG,Authorized Dealer,Coimbatore ,48000,Less than 1 year,3-4 members,More than 8h,No,0,No,No,Not Applicable,0,4
ACYDBNjngar9mttMHyqbLCc10v7FKt9oVgP9Ucn9QzwRLuxk0LgO0u_igrVs-sEKCUUviZs,2026-09-17T12:46:29.614Z,2026-09-17T12:46:29.614171Z,,Air Conditioner,Samsung,Authorized Dealer,Aruppukkottai ,33000,3-5 years,3-4 members,2-4h,Yes,1,No,No,Not Applicable,0,5
